Designator,Mid X,Mid Y,Layer,Rotation
C2,76.68,-63.02,T,180.00
C3,84.08,-63.10,T,180.00
C6,91.78,-63.10,T,180.00
C7,45.94,-52.19,T,180.00
C8,53.48,-52.19,T,180.00
C9,60.66,-52.19,T,180.00
C10,68.38,-52.11,T,180.00
C11,55.51,-130.91,T,270.00
C12,61.90,-136.30,T,270.00
C13,97.99,-136.40,T,270.00
C14,122.00,-136.40,T,270.00
C15,99.28,-63.10,T,180.00
C16,106.88,-63.09,T,180.00
C17,45.68,-141.80,T,270.00
C18,114.56,-141.90,T,270.00
C19,115.46,-131.68,T,180.00
C20,115.46,-129.10,T,180.00
C21,114.48,-63.06,T,180.00
C30,45.50,-130.91,T,270.00
C31,46.08,-63.10,T,180.00
C32,53.78,-63.08,T,180.00
C33,61.42,-63.11,T,180.00
C34,68.98,-63.08,T,180.00
C35,46.20,-70.18,T,180.00
C36,53.78,-70.08,T,180.00
C37,61.48,-70.10,T,180.00
C38,68.88,-70.10,T,180.00
C39,76.46,-70.10,T,180.00
C40,84.18,-70.13,T,180.00
C41,91.78,-70.10,T,180.00
C42,99.28,-70.10,T,180.00
C43,106.98,-70.10,T,180.00
C44,114.38,-70.10,T,180.00
C45,46.20,-77.16,T,180.00
C46,53.78,-77.10,T,180.00
C47,61.29,-77.14,T,180.00
C48,68.83,-77.18,T,180.00
C49,76.43,-77.10,T,180.00
C50,84.06,-77.10,T,180.00
C51,91.62,-77.13,T,180.00
C52,99.31,-77.12,T,180.00
C53,106.93,-77.10,T,180.00
C54,114.48,-77.10,T,180.00
C55,46.08,-84.20,T,180.00
C56,53.78,-84.19,T,180.00
C57,61.36,-84.15,T,180.00
C58,68.88,-84.10,T,180.00
C59,76.40,-84.10,T,180.00
C60,84.08,-84.20,T,180.00
C61,91.76,-84.10,T,180.00
C62,99.28,-84.10,T,180.00
C63,106.86,-84.10,T,180.00
C64,114.30,-84.09,T,180.00
C65,46.08,-91.20,T,180.00
C66,53.68,-91.20,T,180.00
C67,61.36,-91.14,T,180.00
C68,68.88,-91.10,T,180.00
C69,76.48,-91.10,T,180.00
C70,84.18,-91.13,T,180.00
C71,91.68,-91.10,T,180.00
C72,99.28,-91.10,T,180.00
C73,106.88,-91.10,T,180.00
C74,114.36,-91.10,T,180.00
C75,46.10,-98.20,T,180.00
C76,53.68,-98.20,T,180.00
C77,61.28,-98.20,T,180.00
C78,69.11,-98.12,T,180.00
C79,76.58,-98.14,T,180.00
C80,84.18,-98.13,T,180.00
C81,91.68,-98.10,T,180.00
C82,99.28,-98.10,T,180.00
C83,106.88,-98.10,T,180.00
C84,114.48,-98.10,T,180.00
C85,46.18,-105.20,T,180.00
C86,53.80,-105.15,T,180.00
C87,61.38,-105.17,T,180.00
C88,68.88,-105.10,T,180.00
C89,76.48,-105.10,T,180.00
C90,84.08,-105.10,T,180.00
C91,91.78,-105.20,T,180.00
C92,99.28,-105.10,T,180.00
C93,106.88,-105.10,T,180.00
C94,114.48,-105.10,T,180.00
C95,46.08,-112.17,T,180.00
C96,53.68,-112.15,T,180.00
C97,61.36,-112.08,T,180.00
C98,68.90,-112.04,T,180.00
C99,76.50,-112.00,T,180.00
C100,84.08,-112.00,T,180.00
C101,91.68,-112.08,T,180.00
C102,99.40,-112.00,T,180.00
C103,106.98,-112.05,T,180.00
