Designator,Mid X,Mid Y,Layer,Rotation
BOOT1,145.00,-60.52,T,0.00
BZ1,189.95,-134.66,T,0.00
C1,222.93,-55.98,T,270.00
C4,217.04,-132.49,T,90.00
C5,224.44,-55.98,T,270.00
C22,161.75,-115.15,T,0.00
C23,150.35,-103.90,T,0.00
C24,188.05,-67.65,T,90.00
C25,178.49,-63.51,T,0.00
C26,149.75,-67.52,T,270.00
C27,200.20,-54.49,T,270.00
C28,201.97,-54.78,T,270.00
C29,149.75,-60.52,T,270.00
C127,172.85,-68.25,T,90.00
C128,186.40,-67.65,T,270.00
D1,150.60,-52.60,T,90.00
D2,179.75,-61.94,T,0.00
D7,170.25,-60.63,T,90.00
D8,160.02,-60.63,T,90.00
D9,199.59,-58.71,T,90.00
D10,197.69,-58.71,T,90.00
D114,190.00,-126.56,T,0.00
J1,228.46,-61.09,T,90.00
J2,151.93,-115.85,T,270.00
J3,201.69,-134.67,T,90.00
J7,144.90,-95.01,T,270.00
J8,172.71,-49.90,T,180.00
J9,235.00,-100.09,T,270.00
J10,235.00,-88.39,T,270.00
J11,157.56,-49.90,T,180.00
J12,221.34,-74.81,T,0.00
J13,227.30,-73.64,T,270.00
Q1,190.37,-59.68,T,90.00
Q2,194.40,-59.67,T,90.00
Q4,163.50,-75.75,T,270.00
Q5,160.00,-72.20,T,0.00
Q6,195.45,-122.46,T,90.00
Q7,177.56,-81.75,T,0.00
Q8,177.56,-77.33,T,0.00
R1,204.31,-77.50,T,180.00
R2,150.60,-55.60,T,90.00
R3,177.06,-61.94,T,0.00
R4,201.39,-57.80,T,0.00
R6,201.38,-59.08,T,0.00
R7,201.39,-60.34,T,0.00
R8,201.39,-61.62,T,0.00
R9,201.39,-67.97,T,0.00
R10,207.80,-74.60,T,90.00
R11,147.96,-96.28,T,180.00
R12,209.07,-74.60,T,90.00
R14,212.25,-74.61,T,90.00
R15,163.50,-72.20,T,270.00
R16,173.96,-55.40,T,90.00
R17,170.96,-55.38,T,90.00
R18,147.97,-93.74,T,180.00
R19,194.88,-119.96,T,0.00
R20,158.82,-55.40,T,90.00
R21,155.81,-55.40,T,90.00
R22,190.87,-69.54,T,90.00
R23,198.25,-61.70,T,270.00
R24,199.59,-61.70,T,270.00
R25,192.66,-56.05,T,0.00
R26,192.66,-54.88,T,180.00
R27,206.53,-74.60,T,270.00
R28,178.00,-73.02,T,180.00
R29,221.34,-79.97,T,180.00
R30,205.28,-74.60,T,270.00
R31,196.79,-61.70,T,270.00
R32,212.25,-77.86,T,0.00
R33,190.00,-124.56,T,180.00
R34,161.15,-110.90,T,0.00
R35,161.16,-113.85,T,0.00
R36,161.20,-116.50,T,0.00
RESET1,145.00,-67.52,T,0.00
U1,178.49,-68.20,T,180.00
U2,191.88,-64.91,T,270.00
U3,212.25,-62.99,T,0.00
